"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Meta Robots 2","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","Élément de lien en version canonique 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.al-metallerie.fr/wp-content/uploads/2025/12/escaliers-acier-dorat-2025-1766227897-1735-400x300.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","5198","5198","5198","1,991","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,043","Sat, 20 Dec 2025 10:51:39 GMT","","","","","1.1","","","","","","https://www.al-metallerie.fr/wp-content/uploads/2025/12/escaliers-acier-dorat-2025-1766227897-1735-400x300.webp","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/type-realisation/escaliers/","text/html; charset=UTF-8","200","OK","Indexable","","Escaliers sur mesure | AL Métallerie & Soudure Thiers, Puy-de-Dôme","66","606","Escaliers sur mesure à Thiers (63) par AL Métallerie & Soudure. Fabrication artisanale, fer forgé et métal. Devis gratuit !","123","729","métallerie Thiers, serrurier Puy-de-Dôme, soudure 63, portail sur mesure, garde-corps, escalier métallique, pergola, ferronnerie art, artisan métallier Auvergne, formation soudure","179","Escaliers","9","Nos escaliers sur mesure à Thiers","33","Escalier quart tournant en acier thermolaqué","44","max-image-preview:large","index, follow, max-image-preview:large","","","https://www.al-metallerie.fr/type-realisation/escaliers/","","","","","","","143924","24819","24819","9,508","","291","46","6,326","65,519","Normal","4,734","1","2","","86","60","0","96,770","56","41","0","5","5","0","","","","","e3d7a80e1d52a7e84cfd1080dd8861c2","0,389","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/type-realisation/escaliers/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/wp-content/themes/almetal-theme/assets/css/realisations.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,067","Fri, 12 Dec 2025 14:25:44 GMT","","","","","1.1","","","","","","https://www.al-metallerie.fr/wp-content/themes/almetal-theme/assets/css/realisations.css","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/autres/hard-top-pickup-pour-chasseur-vichy/","text/html; charset=UTF-8","200","OK","Indexable","","Hard-top PickUp pour chasseur – AL Métallerie Soudure","53","497","Autres à Vichy par AL Métallerie, artisan ferronnier à Thiers (63). Réalisé en 1 semaine. Découvrez ce projet et demandez votre devis gratuit !","143","859","","0","Hard-top PickUp pour chasseur","29","Autres en acier à Vichy - 2021","30","Pourquoi choisir AL Métallerie ?","32","max-image-preview:large","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.al-metallerie.fr/autres/hard-top-pickup-pour-chasseur-vichy/","https://www.al-metallerie.fr/autres/hard-top-pickup-pour-chasseur-vichy/","","","","","","153944","28575","28575","10,947","","421","75","5,613","69,515","Normal","5,053","1","2","","134","60","0","96,770","59","42","0","5","5","0","","","","","57aed98ad07bda744aaf47b1a4f6f98","0,276","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/autres/hard-top-pickup-pour-chasseur-vichy/","2025-12-21 20:45:26"
"https://www.al-metallerie.fr/mobilier-metallique/chariot-pour-boutique-jolyfleur-thiers/","text/html; charset=UTF-8","200","OK","Indexable","","Chariot pour boutique... – AL Métallerie Soudure","48","429","Mobilier métallique à Thiers par AL Métallerie, artisan ferronnier à Thiers (63). Réalisé en 1 semaine. Découvrez ce projet et demandez votre devis gr...","153","914","","0","Chariot pour boutique Jolyfleur Thiers","38","Mobilier métallique en acier à Thiers - 2022","44","Pourquoi choisir AL Métallerie ?","32","max-image-preview:large","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.al-metallerie.fr/mobilier-metallique/chariot-pour-boutique-jolyfleur-thiers/","https://www.al-metallerie.fr/mobilier-metallique/chariot-pour-boutique-jolyfleur-thiers/","","","","","","151162","28703","28703","10,996","","404","75","5,387","67,976","Normal","5,123","1","2","","72","60","0","96,770","58","41","0","6","6","0","","","","","d66faaefe547116543fcafaca52be5e3","0,259","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/mobilier-metallique/chariot-pour-boutique-jolyfleur-thiers/","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/wp-content/themes/almetal-theme/assets/images/logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","","16554","16554","16554","6,342","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,072","Fri, 12 Dec 2025 14:25:47 GMT","","","","","1.1","","","","","","https://www.al-metallerie.fr/wp-content/themes/almetal-theme/assets/images/logo.webp","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/type-realisation/autres/","text/html; charset=UTF-8","200","OK","Indexable","","Autres sur mesure | AL Métallerie & Soudure Thiers, Puy-de-Dôme","63","585","Autres sur mesure à Thiers (63) par AL Métallerie & Soudure. Fabrication artisanale, fer forgé et métal. Devis gratuit !","120","715","métallerie Thiers, serrurier Puy-de-Dôme, soudure 63, portail sur mesure, garde-corps, escalier métallique, pergola, ferronnerie art, artisan métallier Auvergne, formation soudure","179","Autres","6","Nos autres sur mesure à Thiers","30","Fabrication d’une piscine inox","30","max-image-preview:large","index, follow, max-image-preview:large","","","https://www.al-metallerie.fr/type-realisation/autres/","","","","","","","150037","25136","25136","9,629","","271","51","5,314","62,835","Normal","4,490","1","2","","97","60","0","96,770","67","43","0","5","5","0","","","","","b7f0af7126885b0f334d5c78119a5b39","0,444","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/type-realisation/autres/","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/formations-particuliers/","text/html; charset=UTF-8","200","OK","Indexable","","Formations Soudure Particuliers | Stages Découverte | AL Métallerie Thiers","74","667","Stages soudure pour particuliers à Thiers (63). Découverte ou perfectionnement. Apprenez à souder avec un artisan métallier. Places limitées !","142","873","métallerie Thiers, serrurier Puy-de-Dôme, soudure 63, portail sur mesure, garde-corps, escalier métallique, pergola, ferronnerie art, artisan métallier Auvergne, formation soudure","179","Formations Particuliers","23","Nos stages pour particuliers","28","Informations pratiques","22","max-image-preview:large","index, follow, max-image-preview:large","","","https://www.al-metallerie.fr/formations-particuliers/","https://www.al-metallerie.fr/formations-particuliers/","","","","","","166036","27068","27068","10,369","","353","79","4,468","63,297","Normal","4,345","1","1","","60","60","0","96,770","46","37","0","5","5","0","","","","","5a9b8fa53ec9f2ce1410b7e8f3f977ff","0,301","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/formations-particuliers/","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/type-realisation/mobilier-metallique/","text/html; charset=UTF-8","200","OK","Indexable","","Mobilier métallique sur mesure | AL Métallerie & Soudure Thiers, Puy-de-Dôme","76","698","Mobilier métallique sur mesure à Thiers (63) par AL Métallerie & Soudure. Fabrication artisanale, fer forgé et métal. Devis gratuit !","133","790","métallerie Thiers, serrurier Puy-de-Dôme, soudure 63, portail sur mesure, garde-corps, escalier métallique, pergola, ferronnerie art, artisan métallier Auvergne, formation soudure","179","Mobilier métallique","19","Nos mobilier métallique sur mesure à Thiers","43","Fabrication de pieds pour trois tables.","39","max-image-preview:large","index, follow, max-image-preview:large","","","https://www.al-metallerie.fr/type-realisation/mobilier-metallique/","","","","","","","149802","25195","25195","9,652","","291","55","5,291","57,267","Assez difficile","4,633","1","2","","94","60","0","96,770","65","43","0","5","5","0","","","","","683bdbf8689a0da32d517034f7268722","0,377","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/type-realisation/mobilier-metallique/","2025-12-21 20:45:27"
"https://www.al-metallerie.fr/soudure/escoutoux/","text/html; charset=UTF-8","200","OK","Indexable","","Métallier Serrurier à Escoutoux (63300) | AL Métallerie","55","483","Métallier serrurier à Escoutoux (63300). AL Métallerie & Soudure : portails, garde-corps, escaliers sur mesure. Devis gratuit, intervention Puy-de-Dôme.","152","919","","0","Métallier Serrurier à Escoutoux","31","Ferronnerie et métallerie sur mesure à Escoutoux","48","Ce que nous réalisons à Escoutoux","33","max-image-preview:large","","","","https://www.al-metallerie.fr/soudure/escoutoux/","","","","","","","135886","25400","25400","9,730","","582","120","4,850","61,058","Normal","6,508","1","2","","10","9","0","14,520","69","43","0","5","5","0","","","","","e1282b78e66b8a4d91f8612c25080b6a","0,331","","","","","fr-FR","1.1","","","","","","https://www.al-metallerie.fr/soudure/escoutoux/","2025-12-21 20:45:27"
